#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
5.338941580587880376e-01 4.385710285922468366e-01 -2.922820699481324613e+00 -4.037322709479977401e-01 4.114681117811883212e-04 3.418961088328082099e+00 3.680199238090459124e-02 2.157218609172598001e+00 5.483415975448360270e-04
5.928186674376098031e-01 4.499343623198048814e-01 -2.997633662010437572e+00 -5.744383327761600766e-01 5.116289892692294427e-04 3.915783458322857236e+00 3.417251624213685224e-02 2.470692332422857351e+00 3.676344674975310679e-04
6.517431768164315686e-01 4.642310197756774892e-01 -3.085387716635886068e+00 -5.914544723944611393e-01 1.514237595757400203e-05 4.484800995489870878e+00 3.149012156713037330e-02 2.829718126636415754e+00 2.430989076252645464e-04
7.106676861952531121e-01 4.817950846586015468e-01 -3.135934604943694026e+00 -6.502325983790793185e-01 -5.445590822901688892e-05 5.136504656915215961e+00 2.910547084790714861e-02 3.240915338237370324e+00 1.591498768588162733e-04
7.695921955740748777e-01 4.841698867712413978e-01 -3.156190551460087867e+00 -7.251505893885957788e-01 -7.109742993634931554e-04 5.882909880961139315e+00 2.639642204410642262e-02 3.711865196307529757e+00 1.038045024732279538e-04
8.285167049528966432e-01 5.109567573503058791e-01 -3.377674097642811901e+00 -7.109407009357309182e-01 9.131840127086943300e-05 6.737778115496695364e+00 2.390651902013943980e-02 4.251250587450555507e+00 6.758531579978341579e-05
8.874412143317181867e-01 5.272804947917453244e-01 -3.703324042768970425e+00 -4.987371660384635752e-01 -4.174261657574101689e-04 7.716870537246643735e+00 2.176513671875000139e-02 4.869016141878583781e+00 4.151075315847123874e-05
9.463657237105399522e-01 5.608626412443908915e-01 -3.857216540919823800e+00 -3.565155536670929215e-01 3.810226548882144162e-04 8.838238640073624808e+00 2.088048867088247718e-02 5.576551582223088666e+00 2.474111356979779127e-05
1.005290233089361829e+00 5.869560188937407164e-01 -3.721904048445559443e+00 -3.223343633907881922e-01 2.612237717548004088e-04 1.012255704975989978e+01 1.975815514935438943e-02 6.386901715465765683e+00 1.457442496584340721e-05
1.064214742468183372e+00 6.085149038065009730e-01 -3.462506765845123180e+00 -3.973215354705234015e-01 1.832142871199796044e-03 1.159350470138360301e+01 1.913171355618682734e-02 7.315006939603633462e+00 9.011487877640036727e-06
1.123139251847005138e+00 6.219708202910252393e-01 -3.233508098439213274e+00 -7.535161046284508668e-01 5.868360973699605953e-04 1.327820140704386986e+01 1.773872652341172695e-02 8.377978699261564799e+00 5.695585869390297991e-06
1.182063761225826903e+00 6.186405800254126675e-01 -3.050925391561333910e+00 -9.621034460721695769e-01 1.352290914516256258e-03 1.520770786291917531e+01 1.559382788208697572e-02 9.595414968818037238e+00 3.747405986792275458e-06
1.240988270604648447e+00 6.255185738259763095e-01 -3.135625006238639489e+00 -9.445264885044496461e-01 4.671631247258412403e-04 1.741759831427216199e+01 1.366279308416232761e-02 1.098976157959585365e+01 2.488799095002256917e-06
1.299912779983470212e+00 6.305831399487779043e-01 -3.283102297992668284e+00 -8.701707955494467628e-01 9.280002643832990046e-04 1.994861643660631856e+01 1.206816436456217313e-02 1.258672605289505775e+01 1.600296355195614810e-06
1.358837289362291978e+00 6.482565027539084479e-01 -3.332177798684136771e+00 -8.106688898530719500e-01 1.539730491794335404e-04 2.284742652543305397e+01 1.078923659642690505e-02 1.441575156869356711e+01 1.021126285679670046e-06
